-42,62
-40,53
-23,11,59
-23,11,59
-23,12,58
-23,11,59
-23,11,59
-21,10,58
-22,9,58
-21,10,60
-20,11,59
-20,14,58
-22,15,58
-22,13,59
-21,12,58
-21,12,57
-21,14,58
-21,13,59
-20,13,58
-19,12,57
-20,13,58
-21,14,60
-22,13,60
-22,13,59
-21,13,58
-20,13,57
-20,13,58
-21,13,59
-20,14,59
-20,14,58
-21,14,58
-22,13,59
-22,13,59
-21,13,58
-21,14,58
-21,13,59
-21,12,59
-20,13,59
-20,13,59
-20,13,58
-20,13,58
-21,13,58
-21,13,59
-20,14,60
-20,13,59
-21,13,59
-21,12,58
-21,12,58
-20,12,58
-21,11,59
-21,11,60
-22,12,59
-22,12,58
-23,13,58
-23,13,58
-23,13,58
-22,12,58
-22,13,57
-22,13,58
-21,13,58
-21,13,59
-21,13,59
-21,13,59
-21,12,59
-22,12,59
-24,12,57
-24,12,57
-24,11,57
-23,11,57
-22,12,57
-22,12,58
-23,12,59
-22,13,59
-23,13,58
-25,13,58
-25,12,58
-24,12,58
-23,12,58
-23,12,58
-23,11,57
-23,11,57
-23,12,58
-23,13,58
-23,14,58
-23,14,58
-22,14,58
-21,15,58
-21,15,58
-21,14,58
-21,14,58
-21,13,58
-21,13,58
-22,12,58
-23,11,59
-23,10,60
-23,8,58
-23,9,57
-23,10,58
-22,11,59
-23,11,59
-22,9,59
-22,8,58
-23,7,58
-23,7,58
-21,10,59
-21,11,59
-20,13,58
-21,12,59
-22,11,60
-22,9,59
-23,10,58
-22,10,58
-22,11,58
-19,12,58
-22,9,61
-20,9,61
-20,10,59
-23,10,56
-32,5,59
-37,6,57
-34,6,50
